site,fiscal_year,week_sum,incidents_ytd,fclm_hours,process_path,incidents_weekly,avg_hours_per_path,avg_incident_per_path,fclm_hours_4wk_std,incident_4wk_std,incidents_per_1k_hours,hours_deviation,deviation_pct,process_path_rank,top_3_flag_path,incident_drop,incident_spike,hours_drop,hours_spike
teb3,2025,2,0,727.31,stow to prime spt,0,402.585,0.0,324.725,0.0,0.0,324.72499999999997,0.8065998484792031,2,1,0,0,0,1
teb3,2025,2,0,813.69,transfer in dock,0,705.72,0.0,107.97000000000001,0.0,0.0,107.97000000000003,0.15299268831831325,2,1,0,0,0,1
teb3,2025,2,0,401.16,transfer in support,0,326.88,0.0,74.28,0.0,0.0,74.28000000000003,0.22723935389133637,2,1,0,0,0,1
teb3,2025,2,0,351.87,transfer out,0,329.795,0.0,22.074999999999854,0.0,0.0,22.07499999999999,0.06693552055064506,2,1,0,0,0,1
teb3,2025,2,0,119.77,transfer out dock,0,118.475,0.0,1.2950000000003348,0.0,0.0,1.2950000000000017,0.010930576070901048,2,1,0,0,0,1
teb3,2025,2,0,57.63,transfer out lead/pa,0,48.225,0.0,9.405,0.0,0.0,9.405000000000001,0.19502332814930018,2,1,0,0,0,1
teb3,2025,2,0,6.62,unrecognizedprocess,0,6.875,0.0,0.2550000000000111,0.0,0.0,-0.2549999999999999,-0.03709090909090908,2,1,0,0,1,0
teb3,2025,2,0,6.64,v-returns pack,0,8.66,0.0,2.019999999999999,0.0,0.0,-2.0200000000000005,-0.233256351039261,2,1,0,0,1,0
teb3,2025,2,0,111.64,v-returns pick,0,108.28,0.0,3.36000000000028,0.0,0.0,3.3599999999999994,0.031030661248614696,2,1,0,0,0,1
teb3,2025,2,0,123.23,v-returns support,0,89.66,0.0,33.57000000000002,0.0,0.0,33.57000000000001,0.3744144546062905,2,1,0,0,0,1
teb3,2025,2,0,40.01,whd grading,0,37.405,0.0,2.604999999999934,0.0,0.0,2.604999999999997,0.06964309584280168,2,1,0,0,0,1
teb3,2025,2,0,114.04,whd grading support,0,99.685,0.0,14.355000000000066,0.0,0.0,14.355000000000004,0.14400361137583392,2,1,0,0,0,1
teb3,2025,3,1,1378.91,fluid load,1,1391.8033333333333,0.3333333333333333,74.63152565921786,0.4714045207910317,0.7252104923454032,-12.893333333333203,-0.009263760924076823,1,1,0,1,1,0
teb3,2025,3,1,2998.84,admin/hr/it,1,2678.116666666667,0.3333333333333333,354.14358729507063,0.4714045207910317,0.333462272078537,320.72333333333336,0.11975704319577814,2,1,0,1,0,1
teb3,2025,3,1,3523.95,stow to prime,1,2534.3266666666664,0.3333333333333333,800.8495432698684,0.4714045207910317,0.28377247123256577,989.6233333333334,0.3904876772002558,3,1,0,1,0,1
teb3,2025,3,0,515.37,,0,447.3066666666667,0.0,48.13476382915882,0.0,0.0,68.06333333333333,0.1521625730296888,4,0,0,0,0,1
teb3,2025,3,0,159.04,box on demand,0,143.28666666666666,0.0,12.572595418431192,0.0,0.0,15.75333333333333,0.10994277206532357,4,0,0,0,0,1
teb3,2025,3,0,187.47,c-returns processed,0,135.05666666666667,0.0,55.569009548688385,0.0,0.0,52.41333333333333,0.38808401411753085,4,0,0,0,0,1
teb3,2025,3,0,135.88,c-returns support,0,86.02666666666666,0.0,50.23917285235585,0.0,0.0,49.85333333333334,0.579510229386237,4,0,0,0,0,1
teb3,2025,3,0,1310.64,container build,0,1341.6533333333334,0.0,21.970582352061374,0.0,0.0,-31.01333333333332,-0.023115757672125925,4,0,0,0,1,0
teb3,2025,3,0,263.64,container load,0,276.74,0.0,9.628980562170602,0.0,0.0,-13.100000000000023,-0.04733685047336859,4,0,0,0,1,0
